PLAYERS,NBA 2K14,NBA 2K15,NBA 2K16
Gary Neal,67,75,73
George Hill,75,78,78
Gerald Green,69,78,76
Gerald Henderson,74,78,74
Giannis Antetokoumpo,60,74,79
Glenn Robinson III,,67,67
Goran Dragic,78,84,81
Gordon Hayward,69,79,83
Gorgui Dieng,64,72,74
Greg Monroe,80,80,82
Greivis Vasquez,73,76,73
Harrison Barnes,75,76,77
Hassan Whiteside,59,,81
Henry Sims,60,69,71
Hollis Thompson,,71,71
Ian Mahinmi,69,75,73
Iman Shumpert,82,77,75
Isaiah Canaan,69,72,73
Isaiah Thomas,75,80,81
Ish Smith,71,68,70
Jabari Parker,,78,77
Jae Crowder,66,72,76
Jahlil Okafor,,,77
JaKarr Sampson,,64,70
Jamal Crawford,80,80,79
Jameer Nelson,76,76,72
James Anderson,67,71,70
James Ennis,,70,70
James Harden,88,88,92
James Johnson,66,70,75
James Jones,57,69,69
James McAdoo,,67,67
James Young,,68,67
Jared Cunningham,67,67,64
Jared Dudley,72,74,75
Jared Sullinger,72,78,77
Jarell Martin,,,67
Jarnell Stokes,,71,72
Jarrett Jack,79,74,75
Jason Smith,62,72,72
Jason Terry,77,74,71
Jason Thompson,68,75,70
Jeff Green,79,78,77
Jeff Teague,75,78,83
Jeff Withey,60,69,70
Jerami Grant,,68,69
Jeremy Evans,60,70,70
Jeremy Lamb,71,73,73
Jeremy Lin,76,77,75
Jerian Grant,,,69
Jerryd Bayless,71,74,72
Jimmer Fredette,66,72,67
Jimmy Butler,76,80,86
JJ Barea,69,74,74
JJ Hickson,77,77,73
JJ Redick,74,77,79
Joakim Noah,82,87,79
Jodie Meeks,69,75,74
Joe Harris,,68,67
Joe Ingles,,69,70
Joe Johnson,82,82,79
Joseph Young,,,68
Joel Anthony,59,66,66
Joel Embiid,,77,76
Joffrey Lauvergne,,69,69
John Henson,65,75,74
John Jenkins,62,68,67
John Wall,85,86,87
Johnny O’Bryant,,67,64
Jon Leuer,63,69,72
Jonas Jerebko,66,71,72
Jonas Valanciunas,68,78,79
Jonathon Simmons,,,69
Jordan Adams,,71,70
Jordan Clarkson,,70,75
Jordan Hill,71,76,75
Jose Calderon,76,78,73
Joseph Young,,,68
Josh Huestis,,65,65
Josh McRoberts,64,74,71
Josh Richardson,,,66
Josh Smith,86,80,75
JR Smith,84,78,76
Jrue Holiday,88,82,79
Julius Randle,,76,74
Justin Anderson,,,71
Justin Holiday,61,64,72
Justise Winslow,,,74
Jusuf Nurkic,,69,74
Karl-Anthony Towns,,,78
Kawhi Leonard,82,85,87
Kelly Olynyk,62,74,74
Kelly Oubre,,,71
Kemba Walker,83,82,81
Kendall Marshall,65,74,71
Kendrick Perkins,70,74,72
Kenneth Faried,80,81,79
Kent Bazemore,70,74,72
Kentavious Caldwell-Pope,70,72,73
Kevin Durant,94,95,91
Kevin Garnett,82,77,75
Kevin Love,86,89,84
Kevin Martin,81,79,79
Kevin Seraphin,69,74,72
Kevon Looney,,,69
Khris Middleton,60,75,79
Kirk Hinrich,74,76,71
KJ McDaniels,,69,70
Klay Thompson,73,82,87
Kobe Bryant,93,89,85
Kosta Koufos,67,72,72
Kris Humphries,73,73,72
Khris Middleton,60,75,79
Kristaps Porzingis,,,74
Kyle Anderson,,67,71
Kyle Korver,64,78,79
Kyle Lowry,83,85,83
Kyle O’Quinn,61,70,72
Kyle Singler,64,74,71
Kyrie Irving,89,86,87
Lamar Patterson,,,68
LaMarcus Aldridge,84,88,88
Lance Stephenson,74,84,74
Lance Thomas,60,66,70
Langston Galloway,,,72
Larry Nance Jr.,,,66
Lavoy Allen,66,73,72
Leandro Barbosa,70,67,74
LeBron James,99,98,94
Lou Williams,79,77,80
Louis Amundson,67,67,71
Louis Williams,79,77,80
Lucas Nogueira,,67,68
Luis Montero,,,65
Luis Scola,79,77,75
Luke Babbitt,60,66,70
Luol Deng,79,79,78
Manu Ginobili,86,83,78
Marc Gasol,82,85,87
Marcelo Huertas,,,72
Marcin Gortat,80,81,78
Marco Belinelli,65,75,73
Marcus Morris,67,75,73
Marcus Smart,,76,74
Marcus Thornton,75,76,72
Mario Chalmers,75,75,72
Mario Hezonja,,,73
Markel Brown,,69,68
Markieff Morris,69,78,78
Marreese Speights,72,72,76
Martell Webster,68,73,67
Marvin Williams,65,73,71
Mason Plumlee,61,77,76
Matt Barnes,75,76,73
Matt Bonner,58,73,70
Matthew Dellavedova,66,72,70
Maurice Harkless,71,74,68
Maurice N’Dour,,,67
Maurice Williams,78,76,76
Metta World Peace,74,,70
Meyers Leonard,59,68,72
Michael Carter-Williams,61,80,77
Michael Kidd-Gilchrist,78,77,77
Mike Conley,83,83,85
Mike Dunleavy,70,74,73
Mike Miller,70,74,68
Mike Muscala,,68,72
Mike Scott,65,72,72
Miles Plumlee,61,78,71
Mirza Teletovic,66,71,69
Mitch McGary,,68,73
Monta Ellis,85,82,81
Montrezl Harrell,,,69
Myles Turner,,,73
Nemanja Bjelica,,,70
Nene,79,80,76
Nerlens Noel,72,76,77
Nick Collison,64,74,73
Nick Young,72,78,73
Nicolas Batum,78,79,77
Nik Stauskas,,74,69
Nikola Jokic,,,68
Nikola Mirotic,,75,76
Nikola Pekovic,78,81,77
Nikola Vucevic,74,80,83
Noah Vonleh,,72,72
Norman Powell,,,68
Norris Cole,67,75,72
OJ Mayo,82,77,75
Omer Asik,71,76,76
Omri Casspi,66,72,73
Otto Porter,74,68,72
Pablo Prigioni,66,72,71
Pat Connaughton,,,67
Patrick Beverley,73,78,76
Patrick Mills,69,77,74
Patrick Patterson,73,75,74
Pau Gasol,80,82,86
Paul George,87,89,86
Paul Millsap,80,85,83
Paul Pierce,84,81,78
Perry Jones,63,69,69
Phil Pressey,,70,68
Pierre Jackson,,,69
PJ Hairston,,71,69
PJ Tucker,66,76,75
Quincy Acy,64,67,69
Quincy Miller,60,68,66
Quincy Pondexter,61,68,72
Rajon Rondo,90,87,77
Rakeem Christmas,,,65
Ramon Sessions,74,74,72
Randy Foye,72,74,72
Rashad Vaughn,,,69
Raul Neto,,,70
Ray McCallum,66,74,71
Raymond Felton,79,74,71
Reggie Bullock,64,69,67
Reggie Jackson,70,78,78
Richard Jefferson,72,72,72
Richaun Holmes,,,67
Ricky Rubio,78,79,77
RJ Hunter,,,67
Robert Covington,,69,74
Robert Sacre,62,67,69
Robin Lopez,68,77,75
Rodney Hood,,71,70
Rodney Stuckey,78,75,76
Rondae Hollis-Jefferson,,,71
Ronnie Price,64,69,69
Roy Hibbert,81,80,77
Rudy Gay,86,82,83
Rudy Gobert,52,71,79
Russ Smith,,69,67
Russell Westbrook,91,88,89
Ryan Anderson,66,77,74
Ryan Hollins,55,67,71
Ryan Kelly,61,71,66
Salah Mejri,,,68
Sam Dekker,,,70
Sasha Kaun,,,69
Sasha Vujacic,69,,69
Serge Ibaka,84,84,80
Sergey Karasev,60,66,70
Seth Curry,63,65,67
Shabazz Muhammad,65,67,75
Shabazz Napier,,74,70
Shane Larkin,70,72,70
Shaun Livingston,62,74,73
Shayne Whittington,,65,67
Shelvin Mack,65,71,72
Solomon Hill,62,66,73
Sonny Weems,,,70
Spencer Dinwiddie,,,70
Spencer Hawes,70,76,71
Stanley Johnson,,,73
Stephen Curry,88,89,92
Steve Blake,69,71,68
Steve Novak,53,72,66
Steven Adams,57,74,74
Taj Gibson,75,80,76
Tarik Black,,69,69
Tayshaun Prince,74,75,73
Terrence Jones,64,77,75
Terrence Ross,70,76,73
Terry Rozier,,,69
Thabo Sefolosha,70,74,74
Thaddeus Young,79,78,75
Thomas Robinson,75,75,73
Tiago Splitter,70,77,76
Tibor Pleiss,,,69
Tim Duncan,87,90,87
Tim Frazier,,69,69
Tim Hardaway,69,77,73
Timofey Mozgov,67,74,77
TJ Warren,,72,72
Tobias Harris,75,76,79
Tony Allen,75,78,78
Tony Parker,86,88,83
Tony Snell,62,72,72
Tony Wroten,68,74,75
Trevor Ariza,78,78,77
Trevor Booker,69,74,74
Trey Burke,73,75,73
Trey Lyles,,,72
Tristan Thompson,74,76,77
Troy Daniels,67,71,67
Ty Lawson,85,84,81
Tyler Ennis,,71,67
Tyler Hansbrough,72,73,73
Tyler Johnson,,68,71
Tyler Zeller,65,70,76
Tyreke Evans,82,78,80
Tyson Chandler,77,79,79
Tyus Jones,,,69
Udonis Haslem,71,72,71
Victor Oladipo,76,78,80
Vince Carter,78,77,72
Walter Tavares,,,65
Wayne Ellington,72,71,70
Wesley Johnson,67,73,72
Wesley Matthews,77,78,81
Will Barton,58,70,73
Willie Cauley-Stein,,,74
Wilson Chandler,81,78,77
Zach LaVine,,72,73
Zach Randolph,83,84,84
Zaza Pachulia,65,69,73
